date,Philippines,Manila
2020-01-30,1,
2020-02-03,1,
2020-02-05,1,
2020-03-06,2,1.0
2020-03-07,1,
2020-03-08,4,2.0
2020-03-09,14,10.0
2020-03-10,9,7.0
2020-03-11,16,12.0
2020-03-12,3,2.0
2020-03-13,12,9.0
2020-03-14,47,36.0
2020-03-15,28,22.0
2020-03-16,2,2.0
2020-03-17,45,38.0
2020-03-18,15,11.0
2020-03-19,15,13.0
2020-03-20,13,12.0
2020-03-21,77,55.0
2020-03-22,73,57.0
2020-03-23,81,65.0
2020-03-24,90,68.0
2020-03-25,84,62.0
2020-03-26,70,46.0
2020-03-27,102,78.0
2020-03-28,267,191.0
2020-03-29,343,258.0
2020-03-30,127,69.0
2020-03-31,538,403.0
2020-04-01,227,159.0
2020-04-02,322,232.0
2020-04-03,385,288.0
2020-04-04,75,49.0
2020-04-05,152,106.0
2020-04-06,413,309.0
2020-04-07,104,57.0
2020-04-08,106,74.0
2020-04-09,205,155.0
2020-04-10,119,69.0
2020-04-11,233,163.0
2020-04-12,220,146.0
2020-04-13,284,195.0
2020-04-14,290,193.0
2020-04-15,230,179.0
2020-04-16,207,117.0
2020-04-17,218,140.0
2020-04-18,207,139.0
2020-04-19,171,121.0
2020-04-20,197,134.0
2020-04-21,136,74.0
2020-04-22,110,73.0
2020-04-23,271,101.0
2020-04-24,211,150.0
2020-04-25,102,51.0
2020-04-26,284,155.0
2020-04-27,197,123.0
2020-04-28,181,126.0
2020-04-29,253,192.0
2020-04-30,272,150.0
2020-05-01,281,127.0
2020-05-02,155,50.0
2020-05-03,295,123.0
2020-05-04,261,123.0
2020-05-05,199,173.0
2020-05-06,319,176.0
2020-05-07,336,94.0
2020-05-08,118,75.0
2020-05-09,147,105.0
2020-05-10,182,85.0
2020-05-11,288,172.0
2020-05-12,263,152.0
2020-05-13,267,152.0
2020-05-14,257,176.0
2020-05-15,213,119.0
2020-05-16,214,121.0
2020-05-17,207,151.0
2020-05-18,205,118.0
2020-05-19,223,165.0
2020-05-20,276,149.0
2020-05-21,211,95.0
2020-05-22,163,90.0
2020-05-23,179,111.0
2020-05-24,257,190.0
2020-05-25,282,161.0
2020-05-26,350,245.0
2020-05-27,376,255.0
2020-05-28,536,326.0
2020-05-29,1041,579.0
2020-05-30,585,387.0
2020-05-31,855,265.0
2020-06-01,548,213.0
2020-06-02,358,163.0
2020-06-03,745,255.0
2020-06-04,630,266.0
2020-06-05,241,54.0
2020-06-06,704,281.0
2020-06-07,549,168.0
2020-06-08,573,259.0
2020-06-09,511,219.0
2020-06-10,728,236.0
2020-06-11,441,189.0
2020-06-12,608,292.0
2020-06-13,603,289.0
2020-06-14,535,269.0
2020-06-15,483,229.0
2020-06-16,362,198.0
2020-06-17,456,201.0
2020-06-18,560,190.0
2020-06-19,653,290.0
2020-06-20,937,302.0
2020-06-21,649,271.0
2020-06-22,627,182.0
2020-06-23,1141,471.0
2020-06-24,469,258.0
2020-06-25,771,472.0
2020-06-26,998,395.0
2020-06-27,736,324.0
2020-06-28,643,370.0
2020-06-29,969,577.0
2020-06-30,1048,364.0
2020-07-01,847,357.0
2020-07-02,253,123.0
2020-07-03,1483,678.0
2020-07-04,1373,645.0
2020-07-05,2333,1180.0
2020-07-06,1991,1015.0
2020-07-07,1482,865.0
2020-07-08,2316,1367.0
2020-07-09,1345,614.0
2020-07-10,1174,700.0
2020-07-11,1323,751.0
2020-07-12,2070,1118.0
2020-07-13,817,526.0
2020-07-14,604,345.0
2020-07-15,1275,603.0
2020-07-16,2416,1677.0
2020-07-17,1673,977.0
2020-07-18,2248,1599.0
2020-07-19,2188,1486.0
2020-07-20,1495,1158.0
2020-07-21,1910,1353.0
2020-07-22,1473,811.0
2020-07-23,2122,1323.0
2020-07-24,2016,1186.0
2020-07-25,1973,1014.0
2020-07-26,2050,1158.0
2020-07-27,1638,1047.0
2020-07-28,1613,793.0
2020-07-29,1834,801.0
2020-07-30,3862,1883.0
2020-07-31,3950,2288.0
2020-08-01,4843,2626.0
2020-08-02,4916,2683.0
2020-08-03,3153,1530.0
2020-08-04,5948,2981.0
2020-08-05,3417,2404.0
2020-08-06,3488,2004.0
2020-08-07,3321,1817.0
2020-08-08,4169,2686.0
2020-08-09,3033,1668.0
2020-08-10,6880,4163.0
2020-08-11,2895,1466.0
2020-08-12,4263,2544.0
2020-08-13,3930,2407.0
2020-08-14,6130,3807.0
2020-08-15,4278,2459.0
2020-08-16,3363,2061.0
2020-08-17,3293,1914.0
2020-08-18,4813,2959.0
2020-08-19,4580,3056.0
2020-08-20,4280,2558.0
2020-08-21,4747,2701.0
2020-08-22,4907,2829.0
2020-08-23,2358,1015.0
2020-08-24,4643,2491.0
2020-08-25,2954,1572.0
2020-08-26,5253,3151.0
2020-08-27,3230,1576.0
2020-08-28,3963,2078.0
2020-08-29,3627,2025.0
2020-08-30,4271,2199.0
2020-08-31,3446,1900.0
